 0.045208532 0.048239436 0.043884706 0.059444662 0.061902367 
happiness 3.1836994E-4 3.5211266E-4 2.5967282E-4 0.0010428888 5.0327124E-4 
romantic 6.367399E-4 3.5211266E-4 5.1934563E-4 1.303611E-4 0.0010424905 
sorry 9.5510983E-4 0.0010563381 2.5967282E-4 5.214444E-4 2.5163562E-4 
end 0.0015918497 0.0021126762 0.0015580369 0.0015643332 0.0021209288 
hard 0.0015918497 0.0017605633 0.0010386913 0.0011732499 0.0015457617 
lines 9.5510983E-4 0.0010563381 5.1934563E-4 3.910833E-4 4.6732332E-4 
live 6.367399E-4 0.0010563381 0.001298364 0.0019554165 0.0021209288 
jake 9.5510983E-4 7.042253E-4 0.001298364 0.0015643332 0.0022287727 
embrace 3.1836994E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 3.2353154E-4 
practicing 3.1836994E-4 0.0010563381 2.5967282E-4 1.303611E-4 3.5947948E-4 
rich 9.5510983E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 3.9542743E-4 
realized 6.367399E-4 0.0010563381 5.1934563E-4 6.518055E-4 4.3137537E-4 
message 0.0015918497 0.0010563381 0.001298364 5.214444E-4 7.9085486E-4 
room 3.1836994E-4 7.042253E-4 2.5967282E-4 2.607222E-4 3.2353154E-4 
better 0.0044571795 0.0028169013 0.0031160738 0.0028679443 0.002013085 
special 3.1836994E-4 0.0010563381 0.0010386913 0.0010428888 3.9542743E-4 
truth 6.367399E-4 3.5211266E-4 5.1934563E-4 3.910833E-4 4.6732332E-4 
poignant 3.1836994E-4 3.5211266E-4 7.7901845E-4 2.607222E-4 3.5947948E-4 
feminism 9.5510983E-4 0.0021126762 7.7901845E-4 2.607222E-4 1.437918E-4 
well 0.0047755493 0.0035211267 0.004154765 0.0048233606 0.0051405565 
family 0.0019102197 0.0014084507 0.0031160738 0.003910833 0.0034869509 
HE 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 3.9542743E-4 
age 6.367399E-4 3.5211266E-4 7.7901845E-4 6.518055E-4 6.83011E-4 
enjoyed 3.1836994E-4 0.0010563381 7.7901845E-4 6.518055E-4 7.9085486E-4 
feminist 9.5510983E-4 0.0024647887 0.0018177096 3.910833E-4 5.392192E-4 
taking 6.367399E-4 7.042253E-4 7.7901845E-4 9.125277E-4 3.9542743E-4 
gift 3.1836994E-4 0.0010563381 7.7901845E-4 1.303611E-4 5.751672E-4 
romance 6.367399E-4 7.042253E-4 7.7901845E-4 7.821666E-4 6.83011E-4 
slightly 3.1836994E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 1.7973974E-4 
career 3.1836994E-4 0.0010563381 2.5967282E-4 2.607222E-4 3.9542743E-4 
wanting 6.367399E-4 0.0010563381 2.5967282E-4 3.910833E-4 2.5163562E-4 
called 3.1836994E-4 3.5211266E-4 7.7901845E-4 3.910833E-4 3.2353154E-4 
movie 0.013371537 0.014084507 0.009607894 0.01420936 0.024804084 
told 3.1836994E-4 7.042253E-4 2.5967282E-4 6.518055E-4 5.392192E-4 
release 3.1836994E-4 3.5211266E-4 5.1934563E-4 5.214444E-4 3.2353154E-4 
